ID,ProfileID,ListID,EntryEventTypeID,LegalBasisID,Comment,Year,Month,Day,SanctionsMeasureID,SanctionsTypeID,SanctionsMeasureComment,YearFixed,MonthFixed,DayFixed
6859,6859,1550,1,1,,2001,6,1,8114,1705,,true,true,true
6859,6859,1550,1,1,,2001,6,1,127163,1,SDNTK,true,true,true
6860,6860,1550,1,1,,2001,6,1,7938,1705,,true,true,true
6860,6860,1550,1,1,,2001,6,1,127164,1,SDNTK,true,true,true
6861,6861,1550,1,1,,2001,6,1,4208,1705,,true,true,true
6861,6861,1550,1,1,,2001,6,1,127165,1,SDNTK,true,true,true
6862,6862,1550,1,1,,2001,6,1,8229,1705,,true,true,true
6862,6862,1550,1,1,,2001,6,1,127166,1,SDNTK,true,true,true
6863,6863,1550,1,1,,2001,6,1,6274,1705,,true,true,true
6863,6863,1550,1,1,,2001,6,1,127167,1,SDNTK,true,true,true
6864,6864,1550,1,1,,2001,6,1,6131,1705,,true,true,true
6864,6864,1550,1,1,,2001,6,1,127168,1,SDNTK,true,true,true
6865,6865,1550,1,1,,2001,6,1,5415,1705,,true,true,true
6865,6865,1550,1,1,,2001,6,1,127169,1,SDNTK,true,true,true
6866,6866,1550,1,1,,2001,6,1,4048,1705,,true,true,true
6866,6866,1550,1,1,,2001,6,1,127170,1,SDNTK,true,true,true
6895,6895,1550,1,1828,,2001,9,1,3346,1705,,true,true,true
6895,6895,1550,1,1828,,2001,9,1,127172,1,SDGT,true,true,true
6895,6895,1550,1,1828,,2001,9,1,127173,1,SDNTK,true,true,true
6896,6896,1550,1,1,,2001,9,24,5565,1705,,true,true,true
6896,6896,1550,1,1,,2001,9,24,127174,1,FTO,true,true,true
6896,6896,1550,1,1,,2001,9,24,127175,1,SDGT,true,true,true
6897,6897,1550,1,1,,2001,9,24,8059,1705,,true,true,true
6897,6897,1550,1,1,,2001,9,24,127176,1,FTO,true,true,true
6897,6897,1550,1,1,,2001,9,24,127177,1,SDGT,true,true,true
6898,6898,1550,1,1828,,2001,9,24,8110,1705,,true,true,true
6898,6898,1550,1,1828,,2001,9,24,127178,1,SDGT,true,true,true
6899,6899,1550,1,1,,2001,9,24,6923,1705,,true,true,true
6899,6899,1550,1,1,,2001,9,24,127179,1,SDGT,true,true,true
6900,6900,1550,1,1,,2001,9,24,7495,1705,,true,true,true
6900,6900,1550,1,1,,2001,9,24,127180,1,SDGT,true,true,true
6901,6901,1550,1,1,,2001,9,24,7529,1705,,true,true,true
6901,6901,1550,1,1,,2001,9,24,127181,1,SDGT,true,true,true
6903,6903,1550,1,1828,,2001,9,24,4286,1705,,true,true,true
6903,6903,1550,1,1828,,2001,9,24,127183,1,SDGT,true,true,true
6905,6905,1550,1,1828,,2001,9,24,5428,1705,,true,true,true
6905,6905,1550,1,1828,,2001,9,24,127185,1,SDGT,true,true,true
6906,6906,1550,1,1828,,2001,9,24,4702,1705,,true,true,true
6906,6906,1550,1,1828,,2001,9,24,127186,1,SDGT,true,true,true
6907,6907,1550,1,1,,2001,9,24,4363,1705,,true,true,true
6907,6907,1550,1,1,,2001,9,24,127187,1,SDGT,true,true,true
6908,6908,1550,1,1,,2001,9,24,7091,1705,,true,true,true
6908,6908,1550,1,1,,2001,9,24,127188,1,SDGT,true,true,true
6910,6910,1550,1,1,,2001,9,24,9027,1705,,true,true,true
6910,6910,1550,1,1,,2001,9,24,127190,1,SDGT,true,true,true
6911,6911,1550,1,1,,2001,9,24,8564,1705,,true,true,true
6911,6911,1550,1,1,,2001,9,24,127191,1,SDGT,true,true,true
6912,6912,1550,1,1,,2001,9,24,5527,1705,,true,true,true
6912,6912,1550,1,1,,2001,9,24,127192,1,SDGT,true,true,true
6913,6913,1550,1,1,,2001,9,24,6573,1705,,true,true,true
6913,6913,1550,1,1,,2001,9,24,127193,1,SDGT,true,true,true
6915,6915,1550,1,1,,2001,10,12,4688,1705,,true,true,true
6915,6915,1550,1,1,,2001,10,12,127194,1,SDGT,true,true,true
6916,6916,1550,1,1,,2001,10,12,4385,1705,,true,true,true
6916,6916,1550,1,1,,2001,10,12,127195,1,SDGT,true,true,true
6918,6918,1550,1,1,,2001,10,12,8036,1705,,true,true,true
6918,6918,1550,1,1,,2001,10,12,127197,1,SDGT,true,true,true
6919,6919,1550,1,1,,2001,10,12,5208,1705,,true,true,true
6919,6919,1550,1,1,,2001,10,12,127198,1,SDGT,true,true,true
6920,6920,1550,1,1,,2001,10,12,9389,1705,,true,true,true
6920,6920,1550,1,1,,2001,10,12,127199,1,SDGT,true,true,true
6921,6921,1550,1,1828,,2001,10,12,5041,1705,,true,true,true
6921,6921,1550,1,1828,,2001,10,12,127200,1,SDGT,true,true,true
6923,6923,1550,1,1,,2001,10,12,5989,1705,,true,true,true
6923,6923,1550,1,1,,2001,10,12,127202,1,SDGT,true,true,true
6924,6924,1550,1,1,,2001,10,12,4704,1705,,true,true,true
6924,6924,1550,1,1,,2001,10,12,127203,1,SDGT,true,true,true
