FixedRef,ProfileID,PartySubTypeID,IdentityID,FixedRef,Primary,False,AliasFixedRef,AliasTypeID,Primary,LowQuality,DocumentedNameID,FixedRef,DocNameStatusID,NamePartValue,NamePartGroupID,ScriptID,ScriptStatusID,Acronym,FeatureID,FeatureTypeID,FeatureVersionID,ReliabilityID,Comment,VersionLocationID,NamePartTypeID
6703,6703,4,3040,6703,false,false,6703,1400,false,false,14310,6703,2,HERNANDEZ,21116,215,1,false,1142,8,2689,1,,,1521
6704,6704,4,3041,6704,false,false,6704,1400,false,false,14316,6704,2,RODRIGUEZ LOPEZ,21128,215,1,false,1146,8,2693,1,,,1521
6706,6706,4,3042,6706,false,false,6706,1400,false,false,14318,6706,2,TORRES MENDEZ,21132,215,1,false,1150,8,2697,1,,,1521
6707,6707,4,3043,6707,false,false,6707,1400,false,false,14319,6707,2,CARO QUINTERO,21134,215,1,false,1152,8,2699,1,,,1521
6708,6708,4,3044,6708,false,false,6708,1400,false,false,14320,6708,2,CARRILLO FUENTES,21136,215,1,false,1156,8,2703,1,,,1521
6709,6709,4,3045,6709,false,false,6709,1400,false,false,14325,6709,2,CHANGTRAKUL,21145,215,1,false,1158,8,2705,1,,,1521
6710,6710,4,3046,6710,false,false,6710,1400,false,false,14327,6710,2,ZAMBO,21149,215,1,false,1162,8,2709,1,,,1521
6712,6712,4,3048,6712,false,false,6712,1400,false,false,14336,6712,2,SHOFESO,21167,215,1,false,1166,8,2713,1,,,1521
6713,6713,4,3049,6713,false,false,6713,1400,false,false,14338,6713,2,SHOFESO,21171,215,1,false,1168,8,2715,1,,,1521
6714,6714,4,3050,6714,false,false,6714,1400,false,false,14347,6714,2,CHEEWINNITTIPANYA,21189,215,1,false,1170,8,2717,1,,,1521
6715,6715,4,3051,6715,true,false,6715,1403,true,false,3051,6715,1,ARELLANO FELIX,4796,215,1,false,1172,8,2719,1,,,1521
6717,6717,4,3052,6717,true,false,6717,1403,true,false,3052,6717,1,HENAO MONTOYA,4798,215,1,false,1176,8,2723,1,,,1521
6718,6718,4,3053,6718,true,false,6718,1403,true,false,3053,6718,1,RAMIREZ ABADIA,4800,215,1,false,1178,8,2725,1,,,1521
6719,6719,3,3054,6719,true,false,6719,1403,true,false,3054,6719,1,AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,4801,215,1,false,154655,25,204655,1,,4655,1525
6720,6720,3,3055,6720,true,false,6720,1403,true,false,3055,6720,1,COMPANIA AGROINVERSORA HENAGRO LTDA.,4802,215,1,false,154656,25,204656,1,,4656,1525
6721,6721,3,3056,6721,true,false,6721,1403,true,false,3056,6721,1,DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,4803,215,1,false,154661,25,204661,1,,4661,1525
6722,6722,3,3057,6722,false,false,6722,1400,false,false,14348,6722,2,M.T.T. LTDA.,21190,215,1,false,154662,25,204662,1,,4662,1525
6723,6723,3,2386,6723,true,false,6723,1403,true,false,2386,6723,1,ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,3702,215,1,false,154663,25,204663,1,,4663,1525
6724,6724,4,2387,6724,true,false,6724,1403,true,false,2387,6724,1,GONZALEZ BENITEZ,3704,215,1,false,1179,8,6428,1,,,1521
