Element,ID,CountryID,Description,AreaCodeTypeID,OrganisationID,LegalBasisShortRef,LegalBasisTypeID,SanctionsProgramID,PartyTypeID,ScriptCode,Symmetrical
Country,11216,,Venezuela,,,,,,,,
Country,11217,,Vietnam,,,,,,,,
Country,11218,,Yemen,,,,,,,,
Country,11219,,Zambia,,,,,,,,
Country,11220,,Zimbabwe,,,,,,,,
Country,11223,,Aruba,,,,,,,,
Country,11226,,Bermuda,,,,,,,,
Country,11230,,Cayman Islands,,,,,,,,
Country,11241,,Gibraltar,,,,,,,,
Country,11247,,Hong Kong,,,,,,,,
Country,11250,,Jersey,,,,,,,,
Country,11253,,Macau,,,,,,,,
Country,11254,,"Man, Isle of",,,,,,,,
Country,11260,,Netherlands Antilles,,,,,,,,
Country,11278,,"Virgin Islands, British",,,,,,,,
Country,11291,,undetermined,,,,,,,,
Country,11292,,West Bank,,,,,,,,
Country,11391,,Taiwan,,,,,,,,
Country,91021,,Palestinian,,,,,,,,
Country,91116,,Kosovo,,,,,,,,
Country,91192,,Montenegro,,,,,,,,
Country,91434,,Region: Northern Mali,,,,,,,,
Country,91501,,South Sudan,,,,,,,,
Country,91704,,Region: Gaza,,,,,,,,
DecisionMakingBody,1,,,,1,,,,,,
LegalBasis,1,,,,,Unknown,1,1,,,
LegalBasis,1807,,,,,Executive Order 13566 (Libya),1,1,,,
LegalBasis,1810,,,,,Executive Order 13441 (Lebanon),1,1,,,
LegalBasis,1811,,,,,Executive Order 13382 (Non-proliferation),1,1,,,
LegalBasis,1817,,,,,Executive Order 12947 (Terrorism),1,1,,,
LegalBasis,1819,,,,,Executive Order 12978 (Counter Narcotics SDNT),1,1,,,
LegalBasis,1820,,,,,Executive Order 12854 (Cuba),1,1,,,
LegalBasis,1821,,,,,Executive Order 13413 (DRC),1,1,,,
LegalBasis,1822,,,,,Executive Order 13606 (Iran/Syria),1,1,,,
LegalBasis,1823,,,,,Executive Order 13599 (Iran),1,1,,,
LegalBasis,1828,,,,,Executive Order 13224 (Terrorism),1,1,,,
LegalBasis,1829,,,,,Executive Order 13553 (Iran),1,1,,,
LegalBasis,1845,,,,,Executive Order 13304 (Balkans),1,1,,,
LegalBasis,1846,,,,,Executive Order 13405 (Belarus),1,1,,,
LegalBasis,1849,,,,,Foreign Narcotics Kingpin Designation Act,1,1,,,
LegalBasis,1852,,,,,Executive Order 13438 (Iraq),1,1,,,
LegalBasis,1858,,,,,Executive Order 13315 (Iraq),1,1,,,
LegalBasis,91240,,,,,Executive Order 13536 (Somalia),1,1,,,
LegalBasis,91245,,,,,Executive Order 13551 (North Korea),1,1,,,
LegalBasis,91251,,,,,Executive Order 13582 (Syria),1,1,,,
LegalBasis,91252,,,,,Executive Order 13573 (Syria),1,1,,,
LegalBasis,91253,,,,,Executive Order 13572 (Syria),1,1,,,
LegalBasis,91254,,,,,Executive Order 13460 (Syria),1,1,,,
LegalBasis,91256,,,,,Executive Order 13338 (Syria),1,1,,,
LegalBasis,91257,,,,,Executive Order 13581 (TCO),1,1,,,
LegalBasis,91258,,,,,Executive Order 13611 (Yemen),1,1,,,
LegalBasis,91262,,,,,General License 4 Under EO 13224 (Terrorism),1,1,,,
LegalBasis,91414,,,,,CISADA,1,1,,,
LegalBasis,91425,,,,,Executive Order 13628 (Iran),1,1,,,
LegalBasis,91426,,,,,TRA,1,1,,,
LegalBasis,91429,,,,,Executive Order 13628 - Section 3,1,1,,,
LegalBasis,91430,,,,,Executive Order 13628 - Section 7,1,1,,,
LegalBasis,91433,,,,,INA,1,1,,,
LegalBasis,91436,,,,,Magnitsky,1,1,,,
LegalBasis,91477,,,,,Executive Order 13620 (Somalia),1,1,,,
LegalBasis,91494,,,,,Executive Order 13660 (Ukraine),1,1,,,
LegalBasis,91497,,,,,Executive Order 13664 (South Sudan),1,1,,,
LegalBasis,91498,,,,,Executive Order 13661 (Ukraine),1,1,,,
LegalBasis,91500,,,,,Executive Order 13667 (CAR),1,1,,,
LegalBasis,91503,,,,,Executive Order 13662 (Ukraine),1,1,,,
LegalBasis,91697,,,,,Executive Order 13726 (Libya),1,1,,,
LegalBasis,91701,,,,,Executive Order 13687 (North Korea),1,1,,,
LegalBasis,91703,,,,,Executive Order 13685 (Ukraine),1,1,,,
LegalBasis,91706,,,,,Executive Order 13692 (Venezuela),1,1,,,
LegalBasis,91707,,,,,Cuban Assets Control Regulations (CACR),1,1,,,
LegalBasis,91711,,,,,Executive Order 13694 (Cyber),1,1,,,
LegalBasis,91736,,,,,Executive Order 13722 (North Korea),1,1,,,
LegalBasis,91742,,,,,Executive Order 13757 (Cyber),1,1,,,
LegalBasis,91745,,,,,Executive Order 13810 (North Korea),1,1,,,
LegalBasis,91746,,,,,31 CFR 594.201(a)(5),1,1,,,
LegalBasis,91749,,,,,Executive Order 13818 (Global Magnitsky),1,1,,,
LegalBasis,91758,,,,,CAATSA - Section 224,1,1,,,
LegalBasis,91777,,,,,CAATSA - Section 231,1,1,,,
LegalBasis,91779,,,,,CAATSA - Section 228,1,1,,,
LegalBasis,91784,,,,,Executive Order 13846 (Iran),1,1,,,
LegalBasis,91809,,,,,Executive Order 13851 (Nicaragua),1,1,,,
LegalBasis,91811,,,,,Executive Order 13850 (Venezuela),1,1,,,
LegalBasis,91856,,,,,Executive Order 13871 (Iran),1,1,,,
LegalBasis,91859,,,,,NHRAA,1,1,,,
LegalBasis,91860,,,,,NKSPEA,1,1,,,
LegalBasis,91861,,,,,Executive Order 13876 (Iran),1,1,,,
LegalBasis,91864,,,,,Executive Order 13882 (Mali),1,1,,,
LegalBasis,91870,,,,,Executive Order 13848 (Election),1,1,,,
LegalBasis,91872,,,,,HIFPAA - Title I,1,1,,,
LegalBasis,91893,,,,,Executive Order 13846,1,1,,,
LegalBasis,91894,,,,,Executive Order 13894 (Syria-related),1,1,,,
LegalBasis,91897,,,,,Executive Order 13884 (Venezuela),1,1,,,
LegalBasis,91902,,,,,Executive Order 13902 (Iran),1,1,,,
LegalBasis,91904,,,,,Executive Order 14059 (Illicit Drugs),1,1,,,
LegalBasis,91908,,,,,CAATSA - Section 106,1,1,,,
LegalBasis,91937,,,,,Caesar Act,1,1,,,
LegalBasis,91989,,,,,Executive Order 13936 (HK),1,1,,,
LegalBasis,92003,,,,,Executive Order - Convential Arms (Iran),1,1,,,
