ID,From-ProfileID,To-ProfileID,RelationTypeID,RelationQualityID,Former,SanctionsEntryID
8228,26657,26367,15003,1,false,26657
8233,26658,26654,15003,1,false,26658
8229,26659,26367,15003,1,false,26659
8230,26660,26367,15003,1,false,26660
8231,26661,26367,15003,1,false,26661
8232,26662,26367,15003,1,false,26662
8244,26663,21344,15001,1,false,26663
8235,26663,26664,15002,1,false,26663
8242,26665,26664,15002,1,false,26665
8243,26666,26664,15002,1,false,26666
8245,26667,26664,15002,1,false,26667
8246,26668,26664,15002,1,false,26668
8247,26669,26664,15002,1,false,26669
8248,26670,26664,15002,1,false,26670
8249,26671,26664,15002,1,false,26671
8236,26672,26671,15003,1,false,26672
8237,26673,26671,15003,1,false,26673
8238,26674,26671,15003,1,false,26674
8266,26678,26664,15002,1,false,26678
8255,26680,26664,15001,1,false,26680
8256,26681,26664,15001,1,false,26681
8254,26682,26664,15001,1,false,26682
8252,26683,26664,15001,1,false,26683
8251,26684,26664,15001,1,false,26684
8258,26685,26664,15001,1,false,26685
8253,26686,26664,15001,1,false,26686
8257,26687,26664,15001,1,false,26687
8259,26688,26689,15003,1,false,26688
8267,26704,27426,15003,1,false,26704
8277,26745,24389,15002,1,false,26745
8278,26746,26745,15003,1,false,26746
8279,26747,26745,15003,1,false,26747
8280,26748,26745,15003,1,false,26748
8281,26749,18218,15002,1,false,26749
8306,26786,26795,15003,1,false,26786
8308,26787,26796,15003,1,false,26787
8307,26787,26797,15003,1,false,26787
8309,26788,26798,15003,1540,false,26788
8370,26817,10488,15001,1,false,26817
8327,26818,26817,15003,1,false,26818
8328,26819,26817,15003,1,false,26819
8329,26820,26817,15003,1,false,26820
8330,26821,26817,15003,1,false,26821
8331,26822,26817,15003,1,false,26822
8334,26823,26817,15003,1,false,26823
8332,26824,26817,15003,1,false,26824
8333,26825,26817,15003,1,false,26825
8339,26828,26817,15003,1,false,26828
8341,26829,26817,15003,1,false,26829
8343,26830,26817,15003,1,false,26830
8345,26831,26817,15003,1,false,26831
8374,26832,26817,15003,1,false,26832
8346,26833,26817,15003,1,false,26833
8354,26834,26833,15003,1,false,26834
8353,26835,26833,15003,1,false,26835
8352,26836,26828,15003,1,false,26836
8350,26836,26833,15003,1,false,26836
8351,26836,26835,15003,1,false,26836
8355,26837,26833,15003,1,false,26837
8356,26838,26837,15001,1,false,26838
8358,26839,26817,15003,1,false,26839
8360,26840,26817,15003,1,false,26840
8361,26841,26817,15003,1,false,26841
8362,26842,26817,15003,1,false,26842
8363,26843,26817,15003,1,false,26843
8366,26844,26817,15003,1,false,26844
8365,26845,26817,15003,1,false,26845
8364,26846,26817,15003,1,false,26846
8367,26847,26817,15003,1,false,26847
8369,26848,26817,15003,1,false,26848
8371,26849,26817,15003,1,false,26849
8372,26850,26844,15002,1,false,26850
8373,26851,26817,15003,1,false,26851
12848,26852,12214,15003,1,false,26852
8375,26860,10465,15001,1,false,26860
8376,26861,10465,15001,1,false,26861
8377,26862,26861,15002,1,false,26862
8398,26887,26886,15003,1,false,26887
8399,26889,26886,15002,1,false,26889
8400,26890,26886,15002,1,false,26890
8402,26892,26887,15003,1,false,26892
8403,26893,26887,15003,1,false,26893
8404,26894,26887,15003,1,false,26894
8405,26895,26887,15003,1,false,26895
8406,26896,26887,15003,1,false,26896
8407,26897,26886,15003,1,false,26897
8408,26898,26886,15003,1,false,26898
8409,26899,26886,15003,1,false,26899
8668,26933,26927,15003,1540,false,26933
8669,26933,26928,15003,1540,false,26933
8671,26933,26929,15003,1540,false,26933
8670,26933,26930,15003,1540,false,26933
8672,26933,26931,15003,1540,false,26933
8418,26935,10391,15002,1,false,26935
15068,26935,39038,15002,1,false,26935
8419,26936,10391,15002,1,false,26936
8420,26937,10391,15002,1,false,26937
8421,26938,10391,15002,1,false,26938
8422,26939,10391,15002,1,false,26939
8423,26940,10391,15002,1,false,26940
8424,26941,10391,15002,1,false,26941
8417,26942,10391,15002,1,false,26942
8426,26955,4697,15002,1,false,26955
8427,26956,4697,15002,1,false,26956
8428,26957,4697,15002,1,false,26957
8463,26983,26999,15004,1,false,26983
8469,26984,26983,15003,1,false,26984
8468,26985,26983,15003,1,false,26985
8465,26986,26983,15003,1,false,26986
8464,26987,26983,15003,1,false,26987
8467,26988,26983,15003,1,false,26988
8458,26996,26995,15003,1,false,26996
8459,26997,26995,15003,1,false,26997
8460,26998,26995,15003,1,false,26998
8462,27001,26995,15004,1,false,27001
8461,27002,26995,15004,1,false,27002
8457,27006,27004,15004,1,false,27006
8477,27020,12941,15001,1,false,27020
8478,27021,12941,15001,1,false,27021
8479,27022,12941,15001,1,false,27022
8480,27023,12941,15001,1,false,27023
8482,27024,12941,15001,1,false,27024
8481,27024,27023,15003,1,false,27024
8483,27025,12941,15001,1,false,27025
8484,27026,12941,15001,1,false,27026
8485,27027,27026,15002,1,false,27027
8486,27028,12941,15001,1,false,27028
8487,27029,27026,15001,1,false,27029
8488,27031,27026,15001,1,false,27031
8489,27032,12941,15001,1,false,27032
8497,27033,26983,15003,1,false,27033
8502,27034,26995,15003,1,false,27034
8499,27036,26999,15003,1,false,27036
8490,27039,4697,15002,1,false,27039
8517,27083,23943,15002,1,false,27083
8518,27084,23943,15002,1,false,27084
8748,27123,4695,15001,1,false,27123
8749,27124,27123,91725,1,false,27124
8750,27125,27123,91725,1,false,27125
8751,27126,27125,15003,1,false,27126
8743,27127,18647,15001,1,false,27127
8701,27143,12870,15001,1,false,27143
8557,27143,20292,15001,1540,false,27143
8559,27144,20292,15002,1,false,27144
8560,27145,20292,15002,1,false,27145
8561,27146,20292,15002,1,false,27146
8558,27147,21113,15003,1,false,27147
8562,27148,21113,15003,1,false,27148
8563,27149,21113,15003,1,false,27149
8638,27150,6366,15002,1,false,27150
8564,27151,21113,15003,1,false,27151
8565,27152,21113,15003,1,false,27152
8578,27157,11184,15001,1,false,27157
8577,27158,27157,15002,1,false,27158
8579,27159,23065,15001,1,false,27159
8580,27160,23065,15001,1,false,27160
8617,27161,27163,15002,1,false,27161
8623,27162,27159,15001,1,false,27162
